job_role,recommended_skill,skill_tier,category,salary_boost_usd,trend_score_2026,recommendation_score,rank,why
Data Analyst,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Data Analyst,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Data Analyst,Tableau,📈 Rising,Rising,9500,7.98,50.42,3,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Data Analyst,Python,📈 Rising,Rising,18000,9.21,47.56,4,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
Data Analyst,Power BI,📈 Rising,Rising,9000,8.09,46.73,5,"Recommended for: rapidly growing demand, high market demand"
Business Analyst,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Business Analyst,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Business Analyst,A/B Testing,📈 Rising,Rising,13000,8.23,47.64,3,"Recommended for: rapidly growing demand, high market demand"
Business Analyst,Power BI,📈 Rising,Rising,9000,8.09,46.73,4,"Recommended for: rapidly growing demand, high market demand"
Business Analyst,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,5,Recommended for: strong role alignment
Data Scientist,Deep Learning,🚀 Skyrocketing,Rising,28000,9.71,59.79,1,"Recommended for: rapidly growing demand, +$28,000 salary potential, accelerating trend, high market demand"
Data Scientist,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Data Scientist,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,3,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Data Scientist,A/B Testing,📈 Rising,Rising,13000,8.23,47.64,4,"Recommended for: rapidly growing demand, high market demand"
Data Scientist,Python,📈 Rising,Rising,18000,9.21,47.56,5,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
Machine Learning Engineer,Deep Learning,🚀 Skyrocketing,Rising,28000,9.71,59.79,1,"Recommended for: rapidly growing demand, +$28,000 salary potential, accelerating trend, high market demand"
Machine Learning Engineer,Cloud (AWS/GCP),🚀 Skyrocketing,Rising,22000,9.51,55.79,2,"Recommended for: rapidly growing demand, +$22,000 salary potential, accelerating trend, high market demand"
Machine Learning Engineer,MLOps,🚀 Skyrocketing,Rising,24000,9.51,54.8,3,"Recommended for: rapidly growing demand, +$24,000 salary potential, accelerating trend, high market demand"
Machine Learning Engineer,Spark/PySpark,🚀 Skyrocketing,Rising,20000,9.26,54.21,4,"Recommended for: rapidly growing demand, +$20,000 salary potential, accelerating trend, high market demand"
Machine Learning Engineer,Python,📈 Rising,Rising,18000,9.21,47.56,5,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
Data Engineer,Cloud (AWS/GCP),🚀 Skyrocketing,Rising,22000,9.51,55.79,1,"Recommended for: rapidly growing demand, +$22,000 salary potential, accelerating trend, high market demand"
Data Engineer,Spark/PySpark,🚀 Skyrocketing,Rising,20000,9.26,54.21,2,"Recommended for: rapidly growing demand, +$20,000 salary potential, accelerating trend, high market demand"
Data Engineer,dbt,🚀 Skyrocketing,Rising,15000,8.94,52.93,3,"Recommended for: rapidly growing demand, +$15,000 salary potential, accelerating trend, high market demand"
Data Engineer,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,4,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Data Engineer,Airflow,📈 Rising,Rising,14000,8.67,49.82,5,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
BI Developer,dbt,🚀 Skyrocketing,Rising,15000,8.94,52.93,1,"Recommended for: rapidly growing demand, +$15,000 salary potential, accelerating trend, high market demand"
BI Developer,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,2,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
BI Developer,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,3,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
BI Developer,Tableau,📈 Rising,Rising,9500,7.98,50.42,4,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
BI Developer,Power BI,📈 Rising,Rising,9000,8.09,46.73,5,"Recommended for: rapidly growing demand, high market demand"
SQL Developer,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
SQL Developer,Crystal Reports,📉 Declining,Declining,500,1.8,9.61,2,Recommended for: strong role alignment
SQL Developer,MS Access,📉 Declining,Declining,1000,1.72,1.91,3,Recommended for: strong role alignment
SQL Developer,Legacy VBA,💀 Obsolete,Declining,500,1.29,0.9,4,Recommended for: strong role alignment
Excel Analyst,Crystal Reports,📉 Declining,Declining,500,1.8,9.61,1,Recommended for: strong role alignment
Excel Analyst,MS Access,📉 Declining,Declining,1000,1.72,1.91,2,Recommended for: strong role alignment
Excel Analyst,Legacy VBA,💀 Obsolete,Declining,500,1.29,0.9,3,Recommended for: strong role alignment
Excel Analyst,Excel (Basic),💀 Obsolete,Declining,2000,2.51,0.0,4,Recommended for: strong role alignment
Statistician,Statistics,🚀 Skyrocketing,Rising,11000,7.95,51.34,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Statistician,A/B Testing,📈 Rising,Rising,13000,8.23,47.64,2,"Recommended for: rapidly growing demand, high market demand"
Statistician,Python,📈 Rising,Rising,18000,9.21,47.56,3,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
Statistician,R,➡️  Stable,Stable,7000,6.54,33.7,4,Recommended for: strong role alignment
AI Engineer,Deep Learning,🚀 Skyrocketing,Rising,28000,9.71,59.79,1,"Recommended for: rapidly growing demand, +$28,000 salary potential, accelerating trend, high market demand"
AI Engineer,Prompt Engineering,🚀 Skyrocketing,Rising,21000,9.93,58.55,2,"Recommended for: rapidly growing demand, +$21,000 salary potential, accelerating trend, high market demand"
AI Engineer,MLOps,🚀 Skyrocketing,Rising,24000,9.51,54.8,3,"Recommended for: rapidly growing demand, +$24,000 salary potential, accelerating trend, high market demand"
AI Engineer,LLMs/GenAI,🚀 Skyrocketing,Rising,30000,10.0,54.19,4,"Recommended for: rapidly growing demand, +$30,000 salary potential, high market demand"
AI Engineer,Vector Databases,📈 Rising,Rising,22000,9.39,50.65,5,"Recommended for: rapidly growing demand, +$22,000 salary potential, high market demand"
Cloud Architect,Kubernetes,🚀 Skyrocketing,Rising,19000,8.89,58.2,1,"Recommended for: rapidly growing demand, +$19,000 salary potential, accelerating trend, high market demand"
Cloud Architect,Cloud (AWS/GCP),🚀 Skyrocketing,Rising,22000,9.51,55.79,2,"Recommended for: rapidly growing demand, +$22,000 salary potential, accelerating trend, high market demand"
Cloud Architect,Python,📈 Rising,Rising,18000,9.21,47.56,3,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
DevOps Engineer,Kubernetes,🚀 Skyrocketing,Rising,19000,8.89,58.2,1,"Recommended for: rapidly growing demand, +$19,000 salary potential, accelerating trend, high market demand"
DevOps Engineer,Cloud (AWS/GCP),🚀 Skyrocketing,Rising,22000,9.51,55.79,2,"Recommended for: rapidly growing demand, +$22,000 salary potential, accelerating trend, high market demand"
DevOps Engineer,Airflow,📈 Rising,Rising,14000,8.67,49.82,3,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
DevOps Engineer,Python,📈 Rising,Rising,18000,9.21,47.56,4,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
Software Developer,Kubernetes,🚀 Skyrocketing,Rising,19000,8.89,58.2,1,"Recommended for: rapidly growing demand, +$19,000 salary potential, accelerating trend, high market demand"
Software Developer,Cloud (AWS/GCP),🚀 Skyrocketing,Rising,22000,9.51,55.79,2,"Recommended for: rapidly growing demand, +$22,000 salary potential, accelerating trend, high market demand"
Software Developer,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,3,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
Software Developer,Python,📈 Rising,Rising,18000,9.21,47.56,4,"Recommended for: rapidly growing demand, +$18,000 salary potential, high market demand"
QA Engineer,SQL,🚀 Skyrocketing,Rising,8000,8.06,51.38,1,"Recommended for: rapidly growing demand, accelerating trend, high market demand"
