id,year,job_role,experience_level,industry,location,skills,num_skills,salary_usd,automation_risk,demand_index,avg_skill_trend_score,experience_ord,salary_tier,risk_label,skill_count,future_proof,salary_vs_median,role_encoded,exp_encoded
1,2024,Machine Learning Engineer,Entry,Manufacturing,Canada,Spark/PySpark|MS Access|Cloud (AWS/GCP)|Legacy VBA,4,153092.0,0.98,150.3,5.48,1,Mid,Critical Risk,4,0,1.398,15,1
2,2023,Data Scientist,Principal,Government,USA,Deep Learning|dbt|Airflow,3,338275.0,0.05,127.0,8.63,5,Elite,Low Risk,3,1,1.323,8,5
3,2019,SEO Specialist,Mid,Media,Singapore,Tableau|Excel (Basic)|Kubernetes|COBOL,4,101396.0,0.98,97.7,5.1,2,Low,Critical Risk,4,0,0.682,19,2
4,2025,BI Developer,Lead,Education,Germany,dbt|Cold Calling|MLOps|Cloud (AWS/GCP),4,262957.0,0.736,115.2,7.12,4,Elite,High Risk,4,0,1.143,2,4
5,2019,DevOps Engineer,Senior,Energy,Germany,MS Access|Tableau|R,3,173459.0,0.573,91.4,5.43,3,Mid,High Risk,3,0,0.892,9,3
6,2022,Data Scientist,Principal,Manufacturing,Brazil,Excel (Basic)|dbt|Crystal Reports|Deep Learning|Machine Learning,5,346456.0,0.555,127.4,6.48,5,Elite,High Risk,5,0,1.355,8,5
7,2025,AI Engineer,Entry,Retail,UK,Kubernetes|Tableau|Data Entry|Vector Databases|LLMs/GenAI|Cold Calling,6,189953.0,0.98,140.6,6.35,1,High,Critical Risk,6,0,1.735,0,1
8,2024,Statistician,Entry,Energy,India,LLMs/GenAI|Tableau|SQL|Kubernetes,4,130917.0,0.05,152.4,8.25,1,Low,Low Risk,4,1,1.195,22,1
9,2024,Operations Analyst,Principal,Retail,Australia,Airflow|Basic SEO|Machine Learning,3,225090.0,0.758,144.5,6.93,5,High,Critical Risk,3,0,0.88,16,5
10,2022,Statistician,Entry,Retail,Brazil,dbt|Data Entry|Statistics|SQL|Tableau,5,109512.0,0.767,108.8,6.5,1,Low,Critical Risk,5,0,1.0,22,1
11,2020,Excel Analyst,Principal,Media,Germany,Excel (Basic)|SQL|Vector Databases|Airflow|Spark/PySpark|A/B Testing,6,249756.0,0.601,101.9,7.5,5,Elite,High Risk,6,0,0.976,11,5
12,2025,Business Analyst,Entry,Healthcare,India,Manual Testing|Deep Learning|SQL|COBOL|Copy-Paste Reporting|Tableau,6,102092.0,0.98,137.6,4.87,1,Low,Critical Risk,6,0,0.932,3,1
13,2023,Data Analyst,Entry,Media,Germany,Cloud (AWS/GCP)|Prompt Engineering|Power BI|LLMs/GenAI|Tableau,5,135931.0,0.05,101.5,8.7,1,Mid,Low Risk,5,1,1.241,6,1
14,2024,Product Manager,Senior,Media,India,Copy-Paste Reporting|Data Entry|Prompt Engineering,3,199884.0,0.98,152.9,3.93,3,High,Critical Risk,3,0,1.028,17,3
15,2023,Accountant,Mid,Healthcare,Australia,R|Cold Calling|A/B Testing|Python,4,116021.0,0.98,124.6,6.4,2,Low,Critical Risk,4,0,0.78,1,2
16,2022,Data Analyst,Entry,Education,Germany,Machine Learning|Airflow|Excel (Basic)|Deep Learning,4,110082.0,0.231,113.9,7.6,1,Low,Low Risk,4,1,1.005,6,1
17,2022,Data Scientist,Principal,Healthcare,India,R|LLMs/GenAI|Kubernetes|A/B Testing|Manual Testing|Power BI,6,367433.0,0.142,136.6,7.15,5,Elite,Low Risk,6,1,1.437,8,5
18,2023,Product Manager,Mid,Manufacturing,Singapore,Tableau|A/B Testing|Cloud (AWS/GCP)|Airflow|Deep Learning,5,219724.0,0.05,124.6,8.38,2,High,Low Risk,5,1,1.477,17,2
